date,steps
2022-03-31,11361
2022-04-01,527
2022-04-02,4956
2022-04-03,1541
2022-04-04,2627
2022-04-05,2326
2022-04-06,1605
2022-04-07,1635
2022-04-08,908
2022-04-09,7419
2022-04-10,7019
2022-04-11,1864
2022-04-12,5450
2022-04-13,7781
2022-04-14,5070
2022-04-15,5915
2022-04-16,10307
2022-04-17,15149
2022-04-18,5939
2022-04-19,877
2022-04-20,1497
2022-04-21,2429
2022-04-22,1570
2022-04-23,6036
2022-04-24,3555
2022-04-25,2943
2022-04-26,4858
2022-04-27,4337
2022-04-28,5526
2022-04-29,5865
2022-04-30,2761
2022-05-01,4324
2022-05-02,1326
2022-05-03,1503
2022-05-04,2189
2022-05-05,2941
2022-05-06,3223
2022-05-07,3421
2022-05-08,6690
2022-05-09,4327
2022-05-10,2313
2022-05-11,639
2022-05-12,2493
2022-05-13,2263
2022-05-14,7057
2022-05-15,5820
2022-05-16,414
2022-05-17,1468
2022-05-18,2138
2022-05-19,6777
2022-05-20,4092
2022-05-21,4524
2022-05-22,1926
2022-05-23,2432
2022-05-24,3818
2022-05-25,1330
2022-05-26,1599
2022-05-27,1969
2022-05-28,6248
2022-05-29,2267
2022-05-30,3276
2022-05-31,2747
2022-06-01,845
2022-06-02,1792
2022-06-03,1708
2022-06-04,5632
2022-06-05,17602
2022-06-06,2139
2022-06-07,1206
2022-06-08,1264
2022-06-09,2418
2022-06-10,2712
2022-06-11,2492
2022-06-12,1084
2022-06-13,2352
2022-06-14,1825
2022-06-15,5204
2022-06-16,3356
2022-06-17,1711
2022-06-18,7313
2022-06-19,2800
2022-06-20,653
2022-06-21,2653
2022-06-22,1226
2022-06-23,2750
2022-06-24,4403
2022-06-25,3421
2022-06-26,5922
2022-06-27,1420
2022-06-28,1301
2022-06-29,2449
2022-06-30,2900
2022-07-01,2099
2022-07-02,2696
2022-07-03,5390
2022-07-04,2696
2022-07-05,3832
2022-07-06,1413
2022-07-07,3291
2022-07-08,2272
2022-07-09,6380
2022-07-10,10871
2022-07-11,6840
2022-07-12,2439
2022-07-13,3715
2022-07-14,3411
2022-07-15,2215
2022-07-16,5281
2022-07-17,3719
2022-07-18,1143
2022-07-19,2050
2022-07-20,800
2022-07-21,667
2022-07-22,1930
2022-07-23,3838
2022-07-24,13538
2022-07-25,644
2022-07-26,3559
2022-07-27,1164
2022-07-28,2151
2022-07-29,4184
2022-07-30,3071
2022-07-31,3668
2022-08-01,4424
2022-08-02,2339
2022-08-03,3047
2022-08-04,1635
2022-08-05,2878
2022-08-06,3435
2022-08-07,4163
2022-08-08,3015
2022-08-09,4762
2022-08-10,530
2022-08-11,416
2022-08-12,3625
2022-08-13,3360
2022-08-14,8991
2022-08-15,11189
2022-08-16,7879
2022-08-17,11071
2022-08-18,12155
2022-08-19,4668
2022-08-20,2397
2022-08-21,2325
2022-08-22,2808
2022-08-23,870
2022-08-24,1496
2022-08-25,1899
2022-08-26,2627
2022-08-27,599
2022-08-28,1726
2022-08-29,1922
2022-08-30,2399
2022-08-31,367
2022-09-01,254
2022-09-02,281
2022-09-03,3576
2022-09-04,6448
2022-09-05,4728
2022-09-06,1376
2022-09-07,1099
2022-09-08,12435
2022-09-09,1891
2022-09-10,3902
2022-09-11,2857
2022-09-12,3576
2022-09-13,5243
2022-09-14,4444
2022-09-15,2064
2022-09-16,1005
2022-09-17,2784
2022-09-18,1671
2022-09-19,1125
2022-09-20,2370
